GB,BS_YR_MON,PRV_CT_PRVNC_CD,PRV_CT_PRVNC_NM,PRV_CT_CNTY_GU_CD,PRV_CT_CNTY_GU_NM,CUR_CT_PRVNC_CD,CUR_CT_PRVNC_NM,CUR_CT_CNTY_GU_CD,CUR_CT_CNTY_GU_NM,CUR_ADM_DONG_CD,CUR_ADM_DONG_NM,GENDER,AGE_BIN,POP_CNT,SAL_CNT,RUN_CNT,AVG_MON_INCOME,MED_MON_INCOME,AVG_MON_CARDSPND,ECON_CNT
1,202001,44,충청남도,44710,금산군,30,대전광역시,30110,동구,30110530,효동,1,50,8,4,2,4288,3958,2792,8
1,202001,44,충청남도,44710,금산군,30,대전광역시,30110,동구,30110530,효동,2,50,7,4,1,2619,2583,1528,7
1,202001,44,충청남도,44710,금산군,30,대전광역시,30110,동구,30110530,효동,2,40,9,6,0,3269,2750,2654,9
1,202001,44,충청남도,44710,금산군,30,대전광역시,30170,서구,30170581,갈마1동,1,30,6,4,0,3390,3333,2396,6
1,202001,44,충청남도,44710,금산군,30,대전광역시,30200,유성구,30200540,온천2동,2,20,15,8,0,1805,1750,757,15
1,202001,44,충청남도,44710,금산군,30,대전광역시,30170,서구,30170555,탄방동,2,30,6,4,0,2211,2083,1479,6
1,202001,44,충청남도,44710,금산군,30,대전광역시,30140,중구,30140575,대흥동,2,20,7,5,0,1908,1916,1900,7
1,202001,44,충청남도,44710,금산군,30,대전광역시,30140,중구,30140535,은행선화동,1,20,11,5,0,1810,1750,860,11
1,202001,44,충청남도,44710,금산군,30,대전광역시,30110,동구,30110670,홍도동,1,20,6,2,0,2014,2042,877,6
1,202001,44,충청남도,44710,금산군,30,대전광역시,30140,중구,30140740,산성동,1,40,7,0,5,2943,2833,2878,7
1,202001,44,충청남도,44710,금산군,30,대전광역시,30140,중구,30140740,산성동,1,20,6,2,1,2024,2000,1167,6
1,202001,44,충청남도,44710,금산군,30,대전광역시,30140,중구,30140740,산성동,2,50,8,2,3,4029,2333,1864,8
1,202001,44,충청남도,44710,금산군,30,대전광역시,30140,중구,30140740,산성동,1,30,6,1,2,3137,2333,1729,5
1,202001,44,충청남도,44710,금산군,30,대전광역시,30170,서구,30170597,관저2동,2,40,8,1,3,2435,2588,2381,8
1,202001,44,충청남도,44710,금산군,30,대전광역시,30170,서구,30170597,관저2동,1,30,16,14,2,3912,3616,1874,16
1,202001,44,충청남도,44710,금산군,30,대전광역시,30170,서구,30170597,관저2동,2,30,12,8,1,2939,2500,1531,11
1,202001,44,충청남도,44710,금산군,30,대전광역시,30170,서구,30170597,관저2동,2,20,9,5,0,1949,1750,1489,8
1,202001,44,충청남도,44710,금산군,30,대전광역시,30110,동구,30110545,신인동,2,20,10,3,1,1833,1792,1919,10
1,202001,44,충청남도,44710,금산군,30,대전광역시,30110,동구,30110545,신인동,1,40,6,4,1,4720,4083,4058,6
1,202001,44,충청남도,44710,금산군,30,대전광역시,30140,중구,30140655,용두동,2,20,8,5,1,1986,2028,777,8
1,202001,44,충청남도,44710,금산군,30,대전광역시,30140,중구,30140620,석교동,2,40,8,5,0,2189,2258,817,8
1,202001,44,충청남도,44710,금산군,30,대전광역시,30110,동구,30110740,산내동,2,20,11,3,1,2030,1833,1130,11
1,202001,44,충청남도,44710,금산군,30,대전광역시,30110,동구,30110740,산내동,1,60,6,3,2,2415,2291,1016,5
1,202001,44,충청남도,44710,금산군,30,대전광역시,30110,동구,30110740,산내동,2,30,13,10,1,2786,2718,2184,12
1,202001,44,충청남도,44710,금산군,30,대전광역시,30110,동구,30110740,산내동,2,40,14,10,3,3338,2624,2020,13
1,202001,44,충청남도,44710,금산군,30,대전광역시,30110,동구,30110740,산내동,1,30,22,14,7,3660,3554,3157,22
1,202001,44,충청남도,44710,금산군,30,대전광역시,30110,동구,30110640,용전동,2,20,6,3,0,1736,1750,1375,6
1,202001,44,충청남도,44710,금산군,30,대전광역시,30110,동구,30110640,용전동,1,20,10,4,0,1925,1833,432,9
1,202001,44,충청남도,44710,금산군,30,대전광역시,30170,서구,30170510,복수동,1,60,8,4,3,2381,2500,1620,7
1,202001,44,충청남도,44710,금산군,30,대전광역시,30170,서구,30170510,복수동,2,20,8,1,0,1521,1458,704,6
1,202001,44,충청남도,44710,금산군,30,대전광역시,30140,중구,30140640,부사동,1,40,7,5,1,4032,4000,2972,6
1,202001,44,충청남도,44710,금산군,30,대전광역시,30170,서구,30170550,용문동,2,20,10,6,0,1775,1792,1627,10
1,202001,44,충청남도,44710,금산군,30,대전광역시,30200,유성구,30200530,온천1동,2,20,12,7,0,1701,1708,943,12
