GB,BS_YR_MON,CUR_CT_PRVNC_CD,CUR_CT_PRVNC_NM,CUR_CT_CNTY_GU_CD,CUR_CT_CNTY_GU_NM,CUR_ADM_DONG_CD,CUR_ADM_DONG_NM,AFT_CT_PRVNC_CD,AFT_CT_PRVNC_NM,AFT_CT_CNTY_GU_CD,AFT_CT_CNTY_GU_NM,GENDER,AGE_BIN,POP_CNT,SAL_CNT,RUN_CNT,AVG_MON_INCOME,MED_MON_INCOME,AVG_MON_CARDSPND,ECON_CNT
2,202001,48,경상남도,48840,남해군,48840380,설천면,48,경상남도,48840,남해군,1,50,199,47,108,2844,2583,1009,168
2,202001,48,경상남도,48840,남해군,48840380,설천면,48,경상남도,48840,남해군,1,60,219,39,143,2178,2083,662,195
2,202001,48,경상남도,48840,남해군,48840380,설천면,48,경상남도,48170,진주시,2,20,6,2,0,1291,1291,651,6
2,202001,48,경상남도,48840,남해군,48840380,설천면,48,경상남도,48840,남해군,2,20,35,14,1,1416,1416,1148,34
2,202001,48,경상남도,48840,남해군,48840380,설천면,48,경상남도,48840,남해군,1,70,296,11,238,2082,2083,194,182
2,202001,48,경상남도,48840,남해군,48840380,설천면,48,경상남도,48840,남해군,2,30,34,17,8,2100,1916,2058,32
2,202001,48,경상남도,48840,남해군,48840380,설천면,48,경상남도,48840,남해군,1,20,91,21,1,1452,1416,338,64
2,202001,48,경상남도,48840,남해군,48840380,설천면,48,경상남도,48840,남해군,1,40,92,39,30,2883,2750,1641,72
2,202001,48,경상남도,48840,남해군,48840380,설천면,48,경상남도,48840,남해군,2,50,160,36,64,2113,2000,812,117
2,202001,48,경상남도,48840,남해군,48840380,설천면,48,경상남도,48840,남해군,1,30,57,30,10,2293,2250,864,46
2,202001,48,경상남도,48840,남해군,48840330,삼동면,48,경상남도,48840,남해군,1,20,146,42,2,1515,1500,396,96
2,202001,48,경상남도,48840,남해군,48840330,삼동면,48,경상남도,48840,남해군,2,30,58,27,5,2059,2000,1073,49
2,202001,48,경상남도,48840,남해군,48840330,삼동면,48,경상남도,48840,남해군,2,60,260,22,108,1863,1750,486,151
2,202001,48,경상남도,48840,남해군,48840330,삼동면,48,경상남도,48840,남해군,2,20,57,18,3,1449,1416,746,54
2,202001,48,경상남도,48840,남해군,48840330,삼동면,48,경상남도,48840,남해군,1,60,297,55,152,2167,2000,651,216
2,202001,48,경상남도,48840,남해군,48840330,삼동면,48,경상남도,48840,남해군,1,70,323,22,240,2020,2083,265,170
2,202001,48,경상남도,48840,남해군,48840370,고현면,48,경상남도,48840,남해군,1,20,106,22,3,1507,1500,432,90
2,202001,48,경상남도,48840,남해군,48840370,고현면,48,경상남도,48840,남해군,2,70,386,4,253,1651,1750,59,92
