BS_YR_MON,GB,CT_PRVNC_CD,CT_PRVNC_NM,CT_CNTY_GU_CD,CT_CNTY_GU_NM,ADM_DONG_CD,ADM_DONG_NM,ONHS_YN_CD,FML_CNT,AVG_ICM,MED_ICM,AVG_SINCD_USE_AMT,AVG_CHKCD_USE_AMT,BAL_CNT,BNK_BAL_CNT,NBNK_BAL_CNT,CRDT_BAL_CNT,HOUS_BAL_CNT,AVG_BAL_AMT,AVG_BNK_BAL_AMT,AVG_NBNK_BAL_AMT,AVG_CRDT_BAL_AMT,AVG_HOUS_BAL_AMT
202001,ADM_DONG,26,부산광역시,26200,영도구,26200550,영선제2동,1,1260,7669,7100,803,140,753,575,438,505,466,10190,9263,5513,3078,9746
202001,ADM_DONG,43,충청북도,43150,제천시,43150547,영서동,1,890,7749,7000,781,181,550,278,444,437,293,11233,7754,9106,3511,9198
202001,ADM_DONG,41,경기도,41670,여주시,41670250,가남읍,1,1743,7383,6620,734,205,1253,581,1039,901,601,9619,5956,8306,2871,7060
202001,ADM_DONG,30,대전광역시,30200,유성구,30200570,전민동,1,4621,11649,10900,1241,209,3473,3064,1614,2863,1943,14589,11780,9130,5119,13241
202001,ADM_DONG,43,충청북도,43112,청주시서원구,43112540,모충동,1,2439,7539,7100,719,201,1573,919,1182,1122,935,8091,5700,6448,2643,6965
202001,ADM_DONG,27,대구광역시,27230,북구,27230695,무태조야동,1,5261,8187,7700,1004,160,3722,2812,2369,2765,2521,13375,10012,9258,3523,12000
202001,ADM_DONG,11,서울특별시,11290,성북구,11290760,장위제1동,1,1803,8700,8100,904,200,1353,1105,864,1035,884,11112,8294,6959,2570,10195
202001,ADM_DONG,42,강원도,42170,동해시,42170590,묵호동,1,316,5406,4700,367,106,139,40,120,115,32,4066,3522,3510,1753,5632
202001,ADM_DONG,41,경기도,41271,안산시상록구,41271525,사동,1,3700,8718,8300,920,230,2822,2240,1777,1969,2024,12593,10022,7550,3045,11118
202001,ADM_DONG,46,전라남도,46890,완도군,46890330,고금면,1,376,6216,5100,340,170,234,32,228,187,38,8223,6317,7582,3058,7512
202001,ADM_DONG,41,경기도,41210,광명시,41210550,광명4동,1,1591,8538,8135,831,183,1052,888,532,705,721,11007,9248,6512,2742,10198
202001,ADM_DONG,41,경기도,41570,김포시,41570350,월곶면,1,487,7562,6300,676,154,351,155,307,266,169,14468,9480,11660,2916,11678
202001,ADM_DONG,46,전라남도,46830,영암군,46830380,학산면,1,451,6091,5200,411,138,269,60,257,228,44,7988,5945,6974,2499,7957
202001,ADM_DONG,46,전라남도,46720,곡성군,46720310,오곡면,1,335,5495,5000,338,138,177,40,168,136,39,6450,4202,5676,2230,8651
202001,ADM_DONG,28,인천광역시,28710,강화군,28710400,교동면,1,408,5368,4794,297,140,288,56,276,213,50,12865,6554,12063,2487,8496
202001,ADM_DONG,26,부산광역시,26110,중구,26110590,영주제1동,1,379,7447,6815,724,156,254,174,175,191,128,8334,7631,4537,2427,8274
