BS_YR_MON,GB,CT_PRVNC_CD,CT_PRVNC_NM,CT_CNTY_GU_CD,CT_CNTY_GU_NM,ADM_DONG_CD,ADM_DONG_NM,ONHS_YN_CD,FML_CNT,AVG_ICM,MED_ICM,AVG_SINCD_USE_AMT,AVG_CHKCD_USE_AMT,BAL_CNT,BNK_BAL_CNT,NBNK_BAL_CNT,CRDT_BAL_CNT,HOUS_BAL_CNT,AVG_BAL_AMT,AVG_BNK_BAL_AMT,AVG_NBNK_BAL_AMT,AVG_CRDT_BAL_AMT,AVG_HOUS_BAL_AMT
202001,ADM_DONG,11,서울특별시,11740,강동구,11740650,성내제2동,3,7968,5491,4200,538,160,3985,2911,2234,3152,643,7657,8093,3303,2847,13128
202001,ADM_DONG,41,경기도,41133,성남시중원구,41133550,은행1동,3,2907,5320,4300,542,167,1582,1072,1014,1161,439,6273,6237,3273,2269,9011
202001,ADM_DONG,11,서울특별시,11320,도봉구,11320690,방학제1동,3,5964,5933,4600,612,161,3091,2082,1980,2496,651,7039,6982,3820,2533,11970
202001,ADM_DONG,47,경상북도,47150,김천시,47150575,대신동,3,5925,5575,4560,527,167,2870,1441,2180,2324,851,7429,5365,6279,2765,9108
202001,ADM_DONG,43,충청북도,43760,괴산군,43760410,불정면,3,538,4862,3700,280,119,262,69,241,184,46,8086,5033,7361,2332,7318
202001,ADM_DONG,41,경기도,41800,연천군,41800340,미산면,3,438,6134,4300,351,140,237,71,222,175,43,15042,8416,13455,2584,11422
202001,ADM_DONG,26,부산광역시,26140,서구,26140530,동대신제3동,3,1748,4934,3700,441,150,756,502,468,604,200,6680,6651,3740,2274,11257
202001,ADM_DONG,47,경상북도,47920,봉화군,47920310,물야면,3,676,4577,3400,217,97,291,60,270,195,45,8050,5699,7468,2422,8489
202001,ADM_DONG,11,서울특별시,11110,종로구,11110580,교남동,3,2685,7890,5800,978,150,1493,1237,622,1166,340,16148,17496,4459,6700,22476
202001,ADM_DONG,43,충청북도,43150,제천시,43150350,한수면,3,158,4526,3300,342,120,89,21,82,66,22,8190,7655,6785,2347,8297
202001,ADM_DONG,45,전라북도,45750,임실군,45750360,신덕면,3,321,5051,3500,224,100,148,42,138,115,19,6295,5534,5107,2229,7053
202001,ADM_DONG,11,서울특별시,11500,강서구,11500641,방화제3동,3,6631,5791,4800,572,154,3314,2399,1881,2624,533,7853,8306,3323,3228,13042
202001,ADM_DONG,27,대구광역시,27200,남구,27200515,이천동,3,2527,5390,4300,533,113,1156,682,821,918,291,7613,6996,5012,3003,12214
202001,ADM_DONG,46,전라남도,46770,고흥군,46770380,과역면,3,1114,4389,3100,186,87,458,70,435,351,66,5119,5407,4486,2240,8373
202001,ADM_DONG,11,서울특별시,11470,양천구,11470640,신정3동,3,10264,6900,6100,751,180,6054,4711,3304,4682,1125,8890,8813,3920,3123,13488
202001,ADM_DONG,41,경기도,41131,성남시수정구,41131610,양지동,3,2464,5569,4500,539,168,1260,871,839,972,397,7112,6573,3953,2290,10137
202001,ADM_DONG,47,경상북도,47840,성주군,47840370,벽진면,3,706,5063,4074,219,87,367,65,347,286,64,7952,4872,7526,1974,7617
202001,ADM_DONG,50,제주특별자치도,50130,서귀포시,50130530,중앙동,3,892,6321,4800,599,175,476,198,419,406,91,10131,8656,7552,2292,20233
202001,ADM_DONG,27,대구광역시,27170,서구,27170620,평리1동,3,1280,6016,4948,418,141,583,249,475,466,142,4985,4000,4100,1784,7667
202001,ADM_DONG,45,전라북도,45750,임실군,45750320,운암면,3,386,4719,3331,279,93,195,66,173,151,42,10054,4289,9767,2333,9031
202001,ADM_DONG,45,전라북도,45720,진안군,45720400,주천면,3,353,3858,2800,266,73,152,43,137,118,22,6636,3829,6052,2669,8870
202001,ADM_DONG,11,서울특별시,11470,양천구,11470600,신월5동,3,3455,5717,4600,603,174,1890,1362,1137,1449,440,7799,8291,3212,2563,10617
202001,ADM_DONG,48,경상남도,48121,창원시의창구,48121510,의창동,3,7781,5739,4600,593,162,4123,2224,2989,3157,1170,8487,8336,5611,2674,13176
202001,ADM_DONG,41,경기도,41271,안산시상록구,41271525,사동,3,12614,5258,4300,446,188,6348,3683,4590,4878,1259,6303,6449,3617,2305,11646
202001,ADM_DONG,50,제주특별자치도,50130,서귀포시,50130580,서홍동,3,2007,5635,4500,621,200,1097,539,892,893,239,10601,8990,7712,2826,11355
202001,ADM_DONG,48,경상남도,48720,의령군,48720360,정곡면,3,362,4136,2900,217,78,149,47,138,109,33,8482,4594,7499,2330,9066
202001,ADM_DONG,11,서울특별시,11590,동작구,11590550,상도제3동,3,6421,5502,4200,575,170,3303,2566,1645,2471,664,7324,7568,3049,2708,11428
202001,ADM_DONG,43,충청북도,43745,증평군,43745310,도안면,3,476,5186,3600,286,109,219,61,202,170,36,9088,5272,8410,2200,8217
202001,ADM_DONG,44,충청남도,44790,청양군,44790360,장평면,3,595,4843,3400,232,90,266,45,247,212,35,8353,6339,7864,2517,7870
202001,ADM_DONG,47,경상북도,47850,칠곡군,47850253,북삼읍,3,6202,5056,4000,403,153,3018,1183,2569,2331,759,6570,4732,5556,2102,9607
202001,ADM_DONG,47,경상북도,47730,의성군,47730380,봉양면,3,963,4569,3400,310,104,452,111,409,331,103,7080,5299,6365,2738,8624
202001,ADM_DONG,42,강원도,42170,동해시,42170570,발한동,3,1060,5153,4000,380,123,416,163,345,356,44,3586,3710,2566,2121,6892
202001,ADM_DONG,46,전라남도,46790,화순군,46790320,춘양면,3,465,4746,3200,223,89,190,55,175,148,29,12186,5482,11412,2598,9762
202001,ADM_DONG,48,경상남도,48220,통영시,48220700,무전동,3,3107,5381,3943,517,154,1625,804,1247,1310,376,7750,6394,6017,2496,13211
202001,ADM_DONG,42,강원도,42760,평창군,42760380,대관령면,3,1711,5112,3700,442,176,898,253,798,733,167,9327,5336,8804,2539,10281
202001,ADM_DONG,30,대전광역시,30170,서구,30170555,탄방동,3,9617,5250,3800,572,178,4911,2963,3339,3935,857,6747,6544,4185,2588,11695
202001,ADM_DONG,28,인천광역시,28200,남동구,28200690,논현1동,3,7357,5645,4800,570,173,4179,2554,2966,3182,735,7253,7657,3733,2599,13096
202001,ADM_DONG,43,충청북도,43113,청주시흥덕구,43113756,봉명2.송정동,3,8071,5371,4200,484,196,4309,2410,3120,3446,738,6308,5217,4744,2621,12212
202001,ADM_DONG,43,충청북도,43750,진천군,43750253,덕산읍,3,7662,5944,5200,654,189,4740,2726,3569,3789,750,8492,5937,6782,3063,12217
202001,ADM_DONG,30,대전광역시,30110,동구,30110665,성남동,3,2403,5441,4340,500,148,1126,621,827,887,272,5925,5639,3885,2202,9130
202001,ADM_DONG,30,대전광역시,30140,중구,30140535,은행선화동,3,7121,4553,3400,426,140,3243,1744,2365,2514,537,6016,5017,4594,2234,10201
202001,ADM_DONG,48,경상남도,48870,함양군,48870350,지곡면,3,528,4396,3033,217,90,235,54,220,190,37,11915,7270,10864,2801,9190
202001,ADM_DONG,43,충청북도,43720,보은군,43720330,마로면,3,679,4481,3100,202,102,287,67,263,230,58,7228,5713,6444,2539,5800
202001,ADM_DONG,46,전라남도,46130,여수시,46130765,만덕동,3,1933,5761,4600,526,164,930,532,688,736,285,8813,7415,6257,3263,9788
202001,ADM_DONG,46,전라남도,46840,무안군,46840320,몽탄면,3,693,4825,3300,241,101,307,77,288,232,41,7462,5002,6737,1795,10012
202001,ADM_DONG,26,부산광역시,26470,연제구,26470650,연산제1동,3,2816,5930,4708.5,654,140,1445,996,918,1073,395,10423,9746,5934,3164,14032
