BS_YR_MON,GB,CT_PRVNC_CD,CT_PRVNC_NM,CT_CNTY_GU_CD,CT_CNTY_GU_NM,ADM_DONG_CD,ADM_DONG_NM,GENDER,AGE_CD,AVG_ICM,AVG_ICM_O70,MED_ICM,CD_CNT,SINCD_CNT,CHKCD_CNT,AVG_SINCD_USE_AMT,AVG_CHKCD_USE_AMT,BAL_CNT,BNK_BAL_CNT,NBNK_BAL_CNT,CRDT_BAL_CNT,HOUS_BAL_CNT,AVG_BAL_AMT,AVG_BNK_BAL_AMT,AVG_NBNK_BAL_AMT,AVG_CRDT_BAL_AMT,AVG_HOUS_BAL_AMT,AVG_SCR,RT_SCR1,RT_SCR2,RT_SCR3
202001,ADM_DONG,29,광주광역시,29155,남구,29155537,봉선1동,1,40,3257,,3100,4,1,4,0,3,0,0,0,0,0,0,0,0,0,0,5,.14,.86,0
202001,ADM_DONG,44,충청남도,44200,아산시,44200620,온양6동,2,60,1913,,1800,24,2,24,11,24,1,1,0,0,1,4901,4901,0,0,4901,5,.05,.87,.03
202001,ADM_DONG,41,경기도,41590,화성시,41590588,동탄4동,2,70,2100,,2000,2,1,1,17,18,0,0,0,0,0,0,0,0,0,0,3,1.00,0,0
202001,ADM_DONG,41,경기도,41610,광주시,41610350,남종면,2,60,1900,,2000,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,.33,.67,0
202001,ADM_DONG,41,경기도,41590,화성시,41590588,동탄4동,2,60,2131,,2000,15,8,11,129,35,3,3,0,1,2,13539,13539,0,567,20026,4,.39,.61,0
202001,ADM_DONG,48,경상남도,48121,창원시의창구,48121310,북면,1,40,3255,,3100,48,3,48,14,32,1,0,1,1,0,2264,0,2264,2264,0,5,.04,.95,.01
202001,ADM_DONG,26,부산광역시,26320,북구,26320571,만덕제1동,1,30,3119,,3000,18,0,18,0,99,0,0,0,0,0,0,0,0,0,0,4,.10,.90,0
202001,ADM_DONG,41,경기도,41430,의왕시,41430530,오전동,2,30,2500,,2400,60,15,59,24,45,2,2,0,1,1,2835,2835,0,1718,3953,4,.12,.82,.01
202001,ADM_DONG,11,서울특별시,11560,영등포구,11560605,문래동,2,20,2142,,2100,71,15,69,28,54,0,0,0,0,0,0,0,0,0,0,4,.16,.78,.01
202001,ADM_DONG,41,경기도,41430,의왕시,41430530,오전동,2,60,1931,,1900,15,3,14,8,15,0,0,0,0,0,0,0,0,0,0,4,.10,.90,0
202001,ADM_DONG,11,서울특별시,11110,종로구,11110630,종로5.6가동,1,20,2005,,2000,121,11,120,10,53,0,0,0,0,0,0,0,0,0,0,5,.09,.79,.01
202001,ADM_DONG,41,경기도,41570,김포시,41570340,대곶면,1,60,2214,,2100,130,15,128,8,22,5,2,3,3,1,2400,4495,1004,1004,7989,4,.11,.86,.01
202001,ADM_DONG,41,경기도,41590,화성시,41590588,동탄4동,2,30,2951,,2700,43,24,43,232,104,4,1,3,1,1,6263,17395,2552,681,17395,3,.46,.52,0
202001,ADM_DONG,41,경기도,41830,양평군,41830400,용문면,2,60,2020,,1800,15,2,15,47,49,0,0,0,0,0,0,0,0,0,0,4,.28,.64,.04
202001,ADM_DONG,41,경기도,41271,안산시상록구,41271550,본오2동,1,40,3313,,3100,134,55,133,100,102,28,8,23,8,7,3857,9404,1424,686,10555,5,.19,.77,.03
202001,ADM_DONG,29,광주광역시,29155,남구,29155537,봉선1동,1,20,2300,,2300,3,0,3,0,19,0,0,0,0,0,0,0,0,0,0,4,.33,.67,0
202001,ADM_DONG,45,전라북도,45190,남원시,45190360,대강면,2,40,2700,,2700,1,0,1,0,44,0,0,0,0,0,0,0,0,0,0,5,0,1.00,0
202001,ADM_DONG,44,충청남도,44230,논산시,44230380,벌곡면,1,50,2600,,2600,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1.00,0
202001,ADM_DONG,41,경기도,41111,수원시장안구,41111591,송죽동,1,40,3306,,3100,46,14,46,36,53,6,1,6,2,0,2366,7452,1124,1450,0,5,.13,.83,.03
202001,ADM_DONG,41,경기도,41111,수원시장안구,41111591,송죽동,1,20,2043,,2000,32,5,31,22,65,1,0,1,0,0,1758,0,1758,0,0,5,.10,.83,.05
202001,ADM_DONG,29,광주광역시,29155,남구,29155537,봉선1동,1,60,2350,,2250,4,2,4,183,62,0,0,0,0,0,0,0,0,0,0,4,.20,.80,0
202001,ADM_DONG,46,전라남도,46830,영암군,46830250,영암읍,1,60,2350,,2350,2,0,2,0,24,0,0,0,0,0,0,0,0,0,0,4,0,1.00,0
202001,ADM_DONG,44,충청남도,44790,청양군,44790360,장평면,2,40,2400,,2400,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1.00,0
202001,ADM_DONG,26,부산광역시,26500,수영구,26500790,광안제4동,1,40,3262,,3000,13,2,13,29,75,0,0,0,0,0,0,0,0,0,0,5,.05,.95,0
202001,ADM_DONG,41,경기도,41281,고양시덕양구,41281580,창릉동,1,40,3328,,2900,23,3,23,41,47,2,1,1,1,1,4200,1400,7000,7000,1400,5,.06,.91,.03
202001,ADM_DONG,48,경상남도,48127,창원시마산회원구,48127570,양덕2동,2,30,2356,,2300,18,1,18,24,26,0,0,0,0,0,0,0,0,0,0,5,.02,.95,.02
202001,ADM_DONG,48,경상남도,48220,통영시,48220510,도천동,1,50,3100,,2800,5,1,5,171,48,0,0,0,0,0,0,0,0,0,0,5,0,1.00,0
202001,ADM_DONG,46,전라남도,46110,목포시,46110780,삼향동,2,20,1967,,1950,17,2,17,23,17,1,0,1,0,0,425,0,425,0,0,5,.06,.94,0
202001,ADM_DONG,44,충청남도,44800,홍성군,44800350,은하면,2,60,1833,,1800,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1.00,0
202001,ADM_DONG,41,경기도,41210,광명시,41210631,하안1동,2,60,1925,,1800,36,7,36,11,25,1,1,0,0,1,4307,4307,0,0,4307,4,.13,.85,0
202001,ADM_DONG,41,경기도,41281,고양시덕양구,41281580,창릉동,1,70,2150,,2150,1,1,1,13,13,0,0,0,0,0,0,0,0,0,0,4,.50,.50,0
202001,ADM_DONG,48,경상남도,48125,창원시마산합포구,48125620,노산동,1,70,2000,,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.00,0,0
202001,ADM_DONG,45,전라북도,45180,정읍시,45180310,북면,1,60,2109,,2200,8,0,8,0,51,0,0,0,0,0,0,0,0,0,0,4,.27,.73,0
202001,ADM_DONG,47,경상북도,47130,경주시,47130621,황성동,2,50,2439,,2400,13,3,12,23,26,1,1,0,0,1,14040,14040,0,0,14040,5,.13,.87,0
202001,ADM_DONG,46,전라남도,46110,목포시,46110780,삼향동,2,40,2511,,2500,6,0,6,0,42,1,0,1,0,1,2992,0,2992,0,2992,5,0,1.00,0
202001,ADM_DONG,47,경상북도,47130,경주시,47130621,황성동,2,20,2042,,2000,60,1,60,7,71,0,0,0,0,0,0,0,0,0,0,4,.08,.90,.01
202001,ADM_DONG,48,경상남도,48125,창원시마산합포구,48125640,합포동,1,40,3375,,3300,4,1,4,2,15,0,0,0,0,0,0,0,0,0,0,5,.13,.88,0
202001,ADM_DONG,41,경기도,41210,광명시,41210631,하안1동,2,40,2700,,2600,60,20,58,73,63,2,2,2,2,1,8314,5116,3198,3198,9933,5,.19,.78,.02
202001,ADM_DONG,29,광주광역시,29170,북구,29170666,삼각동,1,50,3040,,2600,8,2,8,53,54,0,0,0,0,0,0,0,0,0,0,5,.20,.80,0
202001,ADM_DONG,41,경기도,41463,용인시기흥구,41463515,영덕동,2,60,2040,,2000,39,9,37,30,22,2,1,1,0,1,5870,2000,9741,0,9741,4,.20,.78,0
202001,ADM_DONG,41,경기도,41500,이천시,41500510,창전동,1,20,2178,,2100,92,10,92,15,74,2,2,0,0,1,7141,7141,0,0,11894,4,.16,.83,0
202001,ADM_DONG,41,경기도,41500,이천시,41500510,창전동,1,70,2055,,1900,5,2,3,24,0,1,0,1,0,0,1069,0,1069,0,0,3,.45,.55,0
202001,ADM_DONG,41,경기도,41480,파주시,41480550,운정1동,1,20,2191,,2100,70,5,69,24,39,1,0,1,1,0,550,0,550,550,0,5,.10,.81,.02
202001,ADM_DONG,47,경상북도,47130,경주시,47130621,황성동,2,60,2100,,2000,10,3,7,35,1,1,1,0,0,1,7300,7300,0,0,7300,4,.20,.80,0
202001,ADM_DONG,27,대구광역시,27230,북구,27230510,고성동,1,60,2300,,2300,1,1,0,0,0,1,1,0,0,1,4618,4618,0,0,4618,4,0,1.00,0
202001,ADM_DONG,43,충청북도,43730,옥천군,43730310,동이면,1,40,3149,,3100,21,2,21,2,14,0,0,0,0,0,0,0,0,0,0,5,.04,.96,0
202001,ADM_DONG,11,서울특별시,11680,강남구,11680565,청담동,1,60,3419,14413,2300,53,22,37,82,9,11,11,2,5,4,16635,16352,1273,7125,18043,4,.15,.79,.01
202001,ADM_DONG,27,대구광역시,27260,수성구,27260561,만촌3동,1,40,3440,,3300,9,3,9,82,30,0,0,0,0,0,0,0,0,0,0,4,.40,.60,0
