BS_YR_MON,CT_PRVNC_CD,CT_PRVNC_NM,CT_CNTY_GU_CD,CT_CNTY_GU_NM,ADM_DONG_CD,ADM_DONG_NM,LTV
202001,28,인천광역시,28185,연수구,28185840,송도3동,.41
202001,28,인천광역시,28260,서구,28260536,청라1동,.41
202001,28,인천광역시,28140,동구,28140580,송림1동,.48
202001,28,인천광역시,28185,연수구,28185762,연수2동,.46
202001,28,인천광역시,28110,중구,28110622,영종1동,.53
202001,28,인천광역시,28177,미추홀구,28177610,도화2.3동,.46
202001,28,인천광역시,28177,미추홀구,28177540,용현1.4동,.57
202001,28,인천광역시,28110,중구,28110560,도원동,.64
202001,28,인천광역시,28140,동구,28140605,송림3.5동,.48
202001,28,인천광역시,28710,강화군,28710320,불은면,.42
202001,28,인천광역시,28177,미추홀구,28177640,주안3동,.50
202001,28,인천광역시,28200,남동구,28200580,만수3동,.39
202001,28,인천광역시,28177,미추홀구,28177700,관교동,.43
202001,28,인천광역시,28177,미추홀구,28177510,숭의2동,.66
202001,28,인천광역시,28200,남동구,28200710,논현고잔동,.42
202001,28,인천광역시,28245,계양구,28245720,계양2동,.46
202001,28,인천광역시,28260,서구,28260550,석남1동,.45
202001,28,인천광역시,28720,옹진군,28720360,영흥면,.97
202001,28,인천광역시,28245,계양구,28245614,계산4동,.41
202001,28,인천광역시,28245,계양구,28245710,계양1동,.42
202001,28,인천광역시,28237,부평구,28237540,부평4동,.47
202001,28,인천광역시,28710,강화군,28710400,교동면,.30
202001,28,인천광역시,28710,강화군,28710410,삼산면,.40
202001,28,인천광역시,28110,중구,28110570,율목동,.44
202001,28,인천광역시,28185,연수구,28185795,동춘3동,.47
202001,28,인천광역시,28237,부평구,28237582,산곡4동,.40
202001,28,인천광역시,28237,부평구,28237550,부평5동,.48
202001,28,인천광역시,28710,강화군,28710340,화도면,.39
202001,28,인천광역시,28110,중구,28110540,신흥동,.45
202001,28,인천광역시,28200,남동구,28200570,만수2동,.48
202001,28,인천광역시,28110,중구,28110630,용유동,.50
202001,28,인천광역시,28710,강화군,28710330,길상면,.34
202001,28,인천광역시,28710,강화군,28710310,선원면,.43
202001,28,인천광역시,28237,부평구,28237650,부개1동,.46
202001,28,인천광역시,28237,부평구,28237530,부평3동,.41
202001,28,인천광역시,28110,중구,28110520,연안동,.56
202001,28,인천광역시,28710,강화군,28710390,송해면,.38
202001,28,인천광역시,28200,남동구,28200520,구월2동,.35
202001,28,인천광역시,28185,연수구,28185766,청학동,.50
