BS_YR_MON,GB,CT_PRVNC_CD,CT_PRVNC_NM,CT_CNTY_GU_CD,CT_CNTY_GU_NM,ADM_DONG_CD,ADM_DONG_NM,GENDER,AGE_CD,RT_MDL_GB_410,RT_MDL_GB_420,RT_MDL_GB_430,RT_MDL_GB_440,RT_MDL_GB_510,RT_MDL_GB_520,RT_MDL_GB_910
202001,ADM_DONG,27,대구광역시,27170,서구,27170565,비산2.3동,2,50,0.00,0.39,0.00,0.00,0.16,0.00,0.45
202001,ADM_DONG,27,대구광역시,27170,서구,27170565,비산2.3동,2,60,0.00,0.27,0.00,0.00,0.11,0.00,0.61
202001,ADM_DONG,43,충청북도,43760,괴산군,43760390,사리면,2,50,0.01,0.33,0.00,0.00,0.23,0.00,0.43
202001,ADM_DONG,43,충청북도,43760,괴산군,43760390,사리면,2,70,0.00,0.04,0.00,0.01,0.58,0.00,0.38
202001,ADM_DONG,43,충청북도,43760,괴산군,43760390,사리면,2,30,0.00,0.47,0.00,0.00,0.07,0.00,0.46
202001,ADM_DONG,43,충청북도,43760,괴산군,43760390,사리면,2,60,0.00,0.21,0.00,0.00,0.26,0.00,0.53
202001,ADM_DONG,43,충청북도,43113,청주시흥덕구,43113756,봉명2.송정동,1,30,0.09,0.63,0.00,0.00,0.09,0.00,0.18
202001,ADM_DONG,43,충청북도,43113,청주시흥덕구,43113756,봉명2.송정동,1,60,0.02,0.41,0.00,0.03,0.23,0.00,0.30
202001,ADM_DONG,43,충청북도,43113,청주시흥덕구,43113756,봉명2.송정동,1,50,0.05,0.50,0.00,0.03,0.23,0.00,0.19
202001,ADM_DONG,43,충청북도,43114,청주시청원구,43114550,오근장동,1,50,0.03,0.49,0.00,0.06,0.25,0.01,0.16
202001,ADM_DONG,43,충청북도,43114,청주시청원구,43114550,오근장동,1,70,0.00,0.20,0.00,0.02,0.44,0.00,0.33
202001,ADM_DONG,43,충청북도,43114,청주시청원구,43114550,오근장동,1,30,0.07,0.65,0.01,0.02,0.12,0.01,0.12
202001,ADM_DONG,28,인천광역시,28110,중구,28110628,운서동,1,50,0.04,0.58,0.00,0.04,0.15,0.00,0.18
202001,ADM_DONG,28,인천광역시,28110,중구,28110628,운서동,1,70,0.00,0.29,0.00,0.02,0.20,0.00,0.48
202001,ADM_DONG,28,인천광역시,28237,부평구,28237580,산곡2동,1,70,0.00,0.32,0.00,0.01,0.12,0.00,0.54
202001,ADM_DONG,28,인천광역시,28237,부평구,28237580,산곡2동,1,40,0.04,0.58,0.00,0.04,0.19,0.01,0.14
202001,ADM_DONG,28,인천광역시,28237,부평구,28237580,산곡2동,1,50,0.03,0.53,0.00,0.05,0.22,0.00,0.16
202001,ADM_DONG,26,부산광역시,26410,금정구,26410635,선두구동,2,50,0.00,0.32,0.00,0.04,0.26,0.00,0.37
202001,ADM_DONG,26,부산광역시,26410,금정구,26410635,선두구동,2,60,0.00,0.24,0.00,0.02,0.22,0.00,0.52
202001,ADM_DONG,47,경상북도,47280,문경시,47280360,마성면,1,40,0.01,0.41,0.00,0.01,0.29,0.00,0.28
202001,ADM_DONG,47,경상북도,47280,문경시,47280360,마성면,1,20,0.00,0.22,0.00,0.00,0.05,0.00,0.73
202001,ADM_DONG,47,경상북도,47280,문경시,47280360,마성면,1,60,0.01,0.25,0.00,0.01,0.47,0.00,0.25
202001,ADM_DONG,47,경상북도,47280,문경시,47280360,마성면,1,50,0.00,0.28,0.00,0.02,0.37,0.00,0.33
202001,ADM_DONG,47,경상북도,47280,문경시,47280360,마성면,1,30,0.00,0.53,0.00,0.00,0.13,0.00,0.34
202001,ADM_DONG,47,경상북도,47150,김천시,47150610,지좌동,2,40,0.01,0.50,0.00,0.00,0.15,0.00,0.34
202001,ADM_DONG,47,경상북도,47150,김천시,47150610,지좌동,2,70,0.00,0.10,0.00,0.00,0.25,0.00,0.64
202001,ADM_DONG,47,경상북도,47920,봉화군,47920390,석포면,2,30,0.00,0.45,0.00,0.00,0.11,0.00,0.44
202001,ADM_DONG,47,경상북도,47130,경주시,47130630,동천동,2,50,0.00,0.38,0.00,0.01,0.21,0.00,0.40
202001,ADM_DONG,47,경상북도,47130,경주시,47130630,동천동,2,60,0.00,0.27,0.00,0.00,0.16,0.00,0.57
