BS_YR_MON,GB,CT_PRVNC_CD,CT_PRVNC_NM,CT_CNTY_GU_CD,CT_CNTY_GU_NM,ADM_DONG_CD,ADM_DONG_NM,GENDER,AGE_CD,AVG_ICM,AVG_ICM_O70,AVG_HSHD_ICM,MED_ICM,RT_ICM_1,RT_ICM_2,RT_ICM_3,RT_ICM_4,RT_ICM_5,RT_ICM_6,RT_ICM_7
202001,ADM_DONG,47,경상북도,47190,구미시,47190660,임오동,1,30,4089,8040,6631,3800,0.01,0.21,0.39,0.20,0.11,0.05,0.04
202001,ADM_DONG,47,경상북도,47190,구미시,47190660,임오동,1,50,4589,9616,7211,4100,0.00,0.14,0.35,0.24,0.14,0.06,0.08
202001,ADM_DONG,47,경상북도,47190,구미시,47190660,임오동,1,70,2385,,4272,2300,0.32,0.58,0.10,0.01,0.00,0.00,0.00
202001,ADM_DONG,47,경상북도,47190,구미시,47190660,임오동,1,60,3083,8443,5642,2700,0.12,0.51,0.24,0.05,0.03,0.02,0.02
202001,ADM_DONG,47,경상북도,47190,구미시,47190660,임오동,1,20,2309,9065,6419,2200,0.39,0.49,0.09,0.02,0.00,0.00,0.00
202001,ADM_DONG,47,경상북도,47190,구미시,47190660,임오동,1,40,4760,9297,6932,4300,0.01,0.10,0.30,0.29,0.14,0.07,0.10
202001,ADM_DONG,45,전라북도,45720,진안군,45720310,용담면,1,70,2474,,3967,2500,0.15,0.78,0.08,0.00,0.00,0.00,0.00
202001,ADM_DONG,45,전라북도,45720,진안군,45720310,용담면,1,60,2824,,7700,2612.5,0.11,0.64,0.18,0.05,0.02,0.00,0.00
202001,ADM_DONG,45,전라북도,45140,익산시,45140570,동산동,2,20,2145,,4961,2100,0.46,0.49,0.03,0.01,0.00,0.00,0.00
202001,ADM_DONG,45,전라북도,45140,익산시,45140570,동산동,2,60,2281,8610,3432,2100,0.44,0.46,0.08,0.01,0.00,0.00,0.00
202001,ADM_DONG,45,전라북도,45140,익산시,45140570,동산동,2,30,2947,8400,5152,2800,0.02,0.64,0.29,0.04,0.01,0.00,0.00
202001,ADM_DONG,45,전라북도,45140,익산시,45140570,동산동,2,70,1985,,2549,1800,0.69,0.29,0.02,0.00,0.00,0.00,0.00
