BS_YR_MON,GB,CT_PRVNC_CD,CT_PRVNC_NM,CT_CNTY_GU_CD,CT_CNTY_GU_NM,ADM_DONG_CD,ADM_DONG_NM,GENDER,AGE_CD,BAL_CNT,BNK_BAL_CNT,NBNK_BAL_CNT,CRDT_BAL_CNT,HOUS_BAL_CNT,MRTG1_BAL_CNT,MRTG2_BAL_CNT,AVG_BAL_CNT,AVG_BNK_BAL_CNT,AVG_NBNK_BAL_CNT,AVG_CRDT_BAL_CNT,AVG_HOUS_BAL_CNT,AVG_MRTG1_BAL_CNT,AVG_MRTG2_BAL_CNT,TOT_BAL_AMT,TOT_BNK_BAL_AMT,TOT_NBNK_BAL_AMT,TOT_CRDT_BAL_AMT,TOT_HOUS_BAL_AMT,TOT_MRTG1_BAL_AMT,TOT_MRTG2_BAL_AMT,AVG_BAL_AMT,AVG_BNK_BAL_AMT,AVG_NBNK_BAL_AMT,AVG_CRDT_BAL_AMT,AVG_HOUS_BAL_AMT,AVG_MRTG1_BAL_AMT,AVG_MRTG2_BAL_AMT
202001,ADM_DONG,43,충청북도,43114,청주시청원구,43114510,우암동,2,20,226,123,129,156,10,9,20,1.97,1.54,1.98,1.78,1.20,3.33,1.05,517164,323041,194123,187902,73136,2958,36112,2330,2670,1529,1236,7314,329,1806
202001,ADM_DONG,43,충청북도,43114,청주시청원구,43114510,우암동,2,50,397,132,328,278,136,12,61,2.48,1.28,2.49,2.44,1.22,1.00,1.15,2164789,533008,1631780,448735,1000372,6465,577045,5915,4635,5264,1767,7939,718,9780
202001,ADM_DONG,43,충청북도,43114,청주시청원구,43114510,우암동,2,70,124,44,88,51,64,6,24,1.96,1.23,2.15,2.18,1.27,1.17,1.46,660381,176619,483762,28736,359345,745,258454,6172,5195,5972,737,6091,186,10769
202001,ADM_DONG,43,충청북도,43114,청주시청원구,43114510,우암동,2,30,298,152,201,231,40,13,26,2.41,1.63,2.34,2.18,1.08,1.54,1.12,1147942,637733,510209,405528,302270,4792,101553,4129,4429,2714,1922,7751,399,3906
202001,ADM_DONG,43,충청북도,43114,청주시청원구,43114510,우암동,2,40,316,129,258,264,73,6,39,2.85,1.61,2.69,2.55,1.26,1.83,1.05,1456769,556169,900600,455491,689760,1837,150856,4824,4795,3588,1852,9449,306,3868
202001,ADM_DONG,41,경기도,41135,성남시분당구,41135570,정자3동,1,70,144,124,32,84,54,16,15,1.62,1.44,1.69,1.37,1.24,1.38,1.47,911236,799047,112189,55907,611971,5470,185741,9905,10946,4155,1553,14232,684,13267
202001,ADM_DONG,41,경기도,41135,성남시분당구,41135570,정자3동,1,40,916,825,286,745,345,66,38,2.53,2.11,2.02,1.94,1.21,1.41,1.24,12034340,10569748,1464592,3603931,5860068,98593,349332,14640,14479,5326,6007,17235,1700,9441
202001,ADM_DONG,41,경기도,41135,성남시분당구,41135570,정자3동,1,20,152,117,55,93,12,17,10,2.16,1.74,2.29,2.14,1.00,1.94,1.00,600519,533193,67326,197344,119022,8752,13976,4170,4892,1247,2349,9918,547,1398
202001,ADM_DONG,41,경기도,41135,성남시분당구,41135570,정자3동,1,60,305,258,119,221,137,27,43,2.43,1.82,2.28,1.87,1.45,1.19,1.63,3571231,2640893,930337,417849,2017394,39245,959516,14342,13474,8458,2767,15518,2180,23988
202001,ADM_DONG,41,경기도,41135,성남시분당구,41135570,정자3동,1,50,759,664,268,615,297,68,59,2.64,2.09,2.30,2.07,1.33,1.47,1.41,9796014,8432524,1363489,2490749,5239173,220564,926449,15117,15416,5543,5356,17942,4010,15973
