BS_YR_MON,GB,CT_PRVNC_CD,CT_PRVNC_NM,CT_CNTY_GU_CD,CT_CNTY_GU_NM,ADM_DONG_CD,ADM_DONG_NM,GENDER,AGE_CD,AVG_SCR,RT_SCR1,RT_SCR2,RT_SCR3
202001,ADM_DONG,43,충청북도,43770,음성군,43770360,생극면,2,60,4,0.54,0.38,0.08
202001,ADM_DONG,43,충청북도,43770,음성군,43770360,생극면,2,30,4,0.22,0.70,0.07
202001,ADM_DONG,43,충청북도,43770,음성군,43770360,생극면,2,40,5,0.35,0.48,0.17
202001,ADM_DONG,43,충청북도,43770,음성군,43770360,생극면,2,20,4,0.24,0.73,0.03
202001,ADM_DONG,43,충청북도,43770,음성군,43770360,생극면,2,70,4,0.55,0.39,0.06
202001,ADM_DONG,43,충청북도,43770,음성군,43770360,생극면,2,50,4,0.52,0.40,0.08
202001,ADM_DONG,43,충청북도,43130,충주시,43130535,교현.안림동,2,50,3,0.61,0.30,0.08
202001,ADM_DONG,43,충청북도,43130,충주시,43130535,교현.안림동,2,30,3,0.58,0.33,0.09
202001,ADM_DONG,43,충청북도,43130,충주시,43130535,교현.안림동,2,70,4,0.59,0.39,0.02
202001,ADM_DONG,43,충청북도,43130,충주시,43130535,교현.안림동,2,60,3,0.56,0.39,0.06
202001,ADM_DONG,43,충청북도,43130,충주시,43130535,교현.안림동,2,40,3,0.58,0.31,0.11
202001,ADM_DONG,50,제주특별자치도,50130,서귀포시,50130600,대천동,2,20,4,0.40,0.54,0.05
202001,ADM_DONG,50,제주특별자치도,50130,서귀포시,50130600,대천동,2,70,4,0.60,0.37,0.03
202001,ADM_DONG,28,인천광역시,28710,강화군,28710360,내가면,2,50,3,0.59,0.32,0.09
202001,ADM_DONG,28,인천광역시,28710,강화군,28710360,내가면,2,40,4,0.48,0.40,0.12
202001,ADM_DONG,28,인천광역시,28260,서구,28260600,가좌3동,1,20,4,0.32,0.60,0.08
202001,ADM_DONG,28,인천광역시,28260,서구,28260600,가좌3동,1,50,4,0.46,0.36,0.18
202001,ADM_DONG,28,인천광역시,28260,서구,28260600,가좌3동,1,40,4,0.39,0.42,0.18
202001,ADM_DONG,47,경상북도,47230,영천시,47230250,금호읍,2,60,4,0.49,0.43,0.07
202001,ADM_DONG,47,경상북도,47230,영천시,47230250,금호읍,2,40,4,0.41,0.47,0.12
202001,ADM_DONG,47,경상북도,47230,영천시,47230250,금호읍,2,30,4,0.31,0.58,0.10
202001,ADM_DONG,47,경상북도,47230,영천시,47230250,금호읍,2,70,4,0.57,0.40,0.02
202001,ADM_DONG,47,경상북도,47230,영천시,47230250,금호읍,2,50,4,0.51,0.37,0.12
202001,ADM_DONG,47,경상북도,47230,영천시,47230380,고경면,1,30,4,0.28,0.63,0.07
202001,ADM_DONG,47,경상북도,47230,영천시,47230380,고경면,1,60,3,0.59,0.32,0.09
202001,ADM_DONG,47,경상북도,47111,포항시남구,47111525,상대동,2,60,3,0.58,0.35,0.07
202001,ADM_DONG,47,경상북도,47111,포항시남구,47111525,상대동,2,70,3,0.60,0.37,0.04
202001,ADM_DONG,47,경상북도,47111,포항시남구,47111525,상대동,2,50,4,0.53,0.34,0.13
202001,ADM_DONG,47,경상북도,47250,상주시,47250310,중동면,2,60,4,0.34,0.63,0.03
202001,ADM_DONG,47,경상북도,47250,상주시,47250310,중동면,2,50,4,0.47,0.45,0.08
202001,ADM_DONG,45,전라북도,45140,익산시,45140320,황등면,2,40,4,0.43,0.41,0.16
202001,ADM_DONG,45,전라북도,45140,익산시,45140320,황등면,2,20,4,0.31,0.61,0.08
202001,ADM_DONG,45,전라북도,45140,익산시,45140320,황등면,2,70,4,0.53,0.44,0.04
