BS_YR_MON,GB,CT_PRVNC_CD,CT_PRVNC_NM,CT_CNTY_GU_CD,CT_CNTY_GU_NM,ADM_DONG_CD,ADM_DONG_NM,GENDER,AGE_CD,AVG_LN_P2,OWN_HOUS_CNT,PLU_HOUS_CNT,AVG_ASST_AMT
202001,ADM_DONG,27,대구광역시,27140,동구,27140540,신암4동,1,30,638,57,12,12703
202001,ADM_DONG,27,대구광역시,27140,동구,27140540,신암4동,1,40,1076,109,30,13323
202001,ADM_DONG,27,대구광역시,27140,동구,27140540,신암4동,1,60,736,278,72,17005
202001,ADM_DONG,27,대구광역시,27710,달성군,27710265,현풍읍,2,40,-227,185,70,13250
202001,ADM_DONG,27,대구광역시,27710,달성군,27710265,현풍읍,2,50,126,208,85,13497
202001,ADM_DONG,27,대구광역시,27710,달성군,27710265,현풍읍,2,60,91,147,56,12485
202001,ADM_DONG,27,대구광역시,27710,달성군,27710265,현풍읍,2,70,557,80,11,12305
202001,ADM_DONG,27,대구광역시,27710,달성군,27710265,현풍읍,2,30,-85,140,30,11765
202001,ADM_DONG,31,울산광역시,31110,중구,31110590,우정동,2,50,-817,405,145,21345
202001,ADM_DONG,31,울산광역시,31110,중구,31110590,우정동,2,30,166,117,40,18502
202001,ADM_DONG,31,울산광역시,31110,중구,31110590,우정동,2,70,79,238,42,18783
202001,ADM_DONG,26,부산광역시,26380,사하구,26380550,당리동,2,40,-524,476,114,16850
202001,ADM_DONG,26,부산광역시,26380,사하구,26380550,당리동,2,50,-196,733,201,16525
202001,ADM_DONG,26,부산광역시,26380,사하구,26380550,당리동,2,60,-124,572,131,16869
202001,ADM_DONG,26,부산광역시,26380,사하구,26380550,당리동,2,30,-38,173,41,14518
202001,ADM_DONG,26,부산광역시,26380,사하구,26380550,당리동,2,70,20,296,53,15859
202001,ADM_DONG,26,부산광역시,26110,중구,26110600,영주제2동,2,70,66,115,21,12091
202001,ADM_DONG,26,부산광역시,26110,중구,26110600,영주제2동,2,40,-177,80,27,12409
202001,ADM_DONG,26,부산광역시,26110,중구,26110600,영주제2동,2,60,-135,151,50,12452
202001,ADM_DONG,26,부산광역시,26110,중구,26110600,영주제2동,2,20,-134,3,2,9329
202001,ADM_DONG,26,부산광역시,26290,남구,26290550,대연제5동,2,70,21,216,48,21601
202001,ADM_DONG,26,부산광역시,26290,남구,26290550,대연제5동,2,40,-508,254,100,23848
202001,ADM_DONG,26,부산광역시,26290,남구,26290550,대연제5동,2,20,-264,9,2,14606
